net_arbitrage_revenue,energy_capacity_rated,power_output_rated,state_of_health,state_of_charge_initial,state_of_charge_minimum,state_of_charge_maximum,self_discharge_rate,efficiency_charge,efficiency_discharge,rest_before_charge,rest_after_discharge
4007974,10000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
6124517,20000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
8015948,20000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
7814518,30000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
10335018,30000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
12023923,30000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
9395243,40000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
12249034,40000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
14479960,40000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
16031897,40000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
10885152,50000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
13965821,50000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
16525094,50000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
18624902,50000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
20039871,50000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
12040900,60000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
15629036,60000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
18373551,60000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
20670036,60000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
22769844,60000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
24047846,60000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
12372468,70000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
17253228,70000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
20090559,70000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
22715171,70000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
24814978,70000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
26914786,70000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
28055820,70000,70000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
12439488,80000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
18790487,80000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
21806906,80000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
24498068,80000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
