net_arbitrage_revenue,energy_capacity_rated,power_output_rated,state_of_health,state_of_charge_initial,state_of_charge_minimum,state_of_charge_maximum,self_discharge_rate,efficiency_charge,efficiency_discharge,rest_before_charge,rest_after_discharge
9965706,10000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
17649023,20000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
19931413,20000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
23877948,30000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
27911782,30000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
29897120,30000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
29140363,40000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
35298046,40000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
37889589,40000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
39862827,40000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
32950981,50000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
41700751,50000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
45845758,50000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
47867396,50000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
49828534,50000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
35607427,60000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
47755897,60000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
52947069,60000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
55823565,60000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
57845203,60000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
59794241,60000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
37758523,70000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
53501476,70000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
59401254,70000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
63779734,70000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
65801372,70000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
67823010,70000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
69759948,70000,70000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
39599291,80000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
58280727,80000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
65701000,80000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
70596092,80000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
73757541,80000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
75779179,80000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
77800817,80000,70000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
79725655,80000,80000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
41353001,90000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
62887806,90000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
71633846,90000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
77101758,90000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
81713710,90000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
83735348,90000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
85756986,90000,70000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
87778624,90000,80000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
89691362,90000,90000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
43066113,100000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
65901962,100000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
77525924,100000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
83401503,100000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
88245115,100000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
91691516,100000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
93713154,100000,70000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
95734792,100000,80000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
97756430,100000,90000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
99657068,100000,100000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
9948696,10000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
17628635,20000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
19897393,20000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
23843427,30000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
27872302,30000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
29846090,30000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
29038578,40000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
35257270,40000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
37831449,40000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
39794787,40000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
32824528,50000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
41659975,50000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
45785458,50000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
47790596,50000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
49743484,50000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
35326204,60000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
47686854,60000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
52885905,60000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
55744605,60000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
57749743,60000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
59692181,60000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
37334465,70000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
53417790,70000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
59340090,70000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
63698614,70000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
65703752,70000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
67708890,70000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
69640878,70000,70000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
39453986,80000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
58077156,80000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
65639836,80000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
70514540,80000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
73657761,80000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
75662899,80000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
77668037,80000,70000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
79589575,80000,80000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
41223884,90000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
62641560,90000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
71530282,90000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
77020206,90000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
81611770,90000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
83616908,90000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
85622046,90000,70000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
87627184,90000,80000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
89538272,90000,90000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
42937212,100000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
65649056,100000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
77413760,100000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
83319951,100000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
88143175,100000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
91570916,100000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
93576054,100000,70000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
95581192,100000,80000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
97586330,100000,90000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
99486968,100000,100000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
9948696,10000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
17600435,20000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
19897393,20000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
23785227,30000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
27872302,30000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
29846090,30000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
28981235,40000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
35200870,40000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
37831449,40000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
39794787,40000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
32633322,50000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
41565175,50000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
45785458,50000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
47790596,50000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
49743484,50000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
34926650,60000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
47570454,60000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
52801305,60000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
55744605,60000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
57749743,60000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
59692181,60000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
37153378,70000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
53257900,70000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
59206590,70000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
63698614,70000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
65703752,70000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
67708890,70000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
69640878,70000,70000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
39049971,80000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
57962471,80000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
65486836,80000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
70401740,80000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
73657761,80000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
75662899,80000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
