net_arbitrage_revenue,energy_capacity_rated,power_output_rated,state_of_health,state_of_charge_initial,state_of_charge_minimum,state_of_charge_maximum,self_discharge_rate,efficiency_charge,efficiency_discharge,rest_before_charge,rest_after_discharge
466989,10000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
841698,20000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
933979,20000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
1147380,30000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
1322367,30000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
1400969,30000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
1405453,40000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
1683396,40000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
1790407,40000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
1867959,40000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
1630242,50000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
2006139,50000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
2176694,50000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
2258446,50000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
2334948,50000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
1812760,60000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
2294761,60000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
2525095,60000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
2644734,60000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
2726486,60000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
2801938,60000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
1963556,70000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
2560820,70000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
2847997,70000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
3031022,70000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
3112774,70000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
3194526,70000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
3268928,70000,70000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
2103911,80000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
2810907,80000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
3170419,80000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
