net_arbitrage_revenue,energy_capacity_rated,power_output_rated,state_of_health,state_of_charge_initial,state_of_charge_minimum,state_of_charge_maximum,self_discharge_rate,efficiency_charge,efficiency_discharge,rest_before_charge,rest_after_discharge
7752246,10000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
14041850,20000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
15504493,20000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
18554488,30000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
22091858,30000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
23256739,30000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
21496612,40000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
28083701,40000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
29918085,40000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
31008986,40000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
24089824,50000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
33238654,50000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
36357490,50000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
37744311,50000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
38761232,50000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
26252316,60000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
37108977,60000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
42125552,60000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
44183717,60000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
45570538,60000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
46513479,60000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
28055649,70000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
40182190,70000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
47346723,70000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
50623122,70000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
52009943,70000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
53396764,70000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
54265725,70000,70000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
29553236,80000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
42993225,80000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
52369240,80000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
56167403,80000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
58449349,80000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
59836170,80000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
61222991,80000,70000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
62017972,80000,80000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
30640197,90000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
45749835,90000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
55663466,90000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
61454792,90000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
64888755,90000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
66275576,90000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
67662397,90000,70000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
69049218,90000,80000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
69770219,90000,90000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
31536696,100000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
48179648,100000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
58765659,100000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
66477309,100000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
70209253,100000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
72714981,100000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
74101802,100000,70000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
75488623,100000,80000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
76875444,100000,90000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
77522465,100000,100000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
7503291,10000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
13829026,20000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
15006583,20000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
18495457,30000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
21593948,30000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
22509874,30000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
21478276,40000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
27658053,40000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
29171220,40000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
30013166,40000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
24017210,50000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
32993662,50000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
35610625,50000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
36748491,50000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
37516457,50000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
26235394,60000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
36990914,60000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
41487080,60000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
43187897,60000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
44325763,60000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
45019749,60000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
28052897,70000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
40155238,70000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
46888907,70000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
49627302,70000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
50765168,70000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
51903034,70000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
52523040,70000,70000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
29550484,80000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
42956553,80000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
52092079,80000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
55316107,80000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
57204574,80000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
58342440,80000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
59480306,80000,70000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
60026332,80000,80000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
30637445,90000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
45632916,90000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
55486371,90000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
60784152,90000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
63643980,90000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
64781846,90000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
65919712,90000,70000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
67057578,90000,80000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
67529624,90000,90000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
31533944,100000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
48034421,100000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
58679675,100000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
65987325,100000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
69145134,100000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
71221251,100000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
72359117,100000,70000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
73496983,100000,80000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
74634849,100000,90000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
75032915,100000,100000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1,1
7503291,10000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
13827986,20000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
15006583,20000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
18489059,30000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
21593038,30000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
22509874,30000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
21404203,40000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
27655973,40000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
29170440,40000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
30013166,40000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
23800275,50000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
32987616,50000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
35608675,50000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
36747841,50000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
37516457,50000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
25980177,60000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
36978118,60000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
41483960,60000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
43186077,60000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
44325243,60000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
45019749,60000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
27811752,70000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
40137702,70000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
46882997,70000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
49624312,70000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
50763478,70000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
51902644,70000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
52523040,70000,70000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
29301434,80000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
42808407,80000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
52079635,80000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
55311947,80000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
57201714,80000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
58340880,80000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
59480046,80000,70000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
60026332,80000,80000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
30426205,90000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
45326431,90000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
55467177,90000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
60778282,90000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
63639950,90000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
64779116,90000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
65918282,90000,70000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
67057448,90000,80000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
67529624,90000,90000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
31339470,100000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
47600550,100000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
58653731,100000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
65975233,100000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
69139934,100000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
71217351,100000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
72356517,100000,70000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
73495683,100000,80000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
74634849,100000,90000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
75032915,100000,100000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2,2
7500681,10000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,3,3
13732520,20000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,3,3
15001363,20000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,3,3
18234755,30000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,3,3
21582292,30000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,3,3
22502044,30000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,3,3
21105232,40000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,3,3
27465040,40000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,3,3
