net_arbitrage_revenue,energy_capacity_rated,power_output_rated,state_of_health,state_of_charge_initial,state_of_charge_minimum,state_of_charge_maximum,self_discharge_rate,efficiency_charge,efficiency_discharge,rest_before_charge,rest_after_discharge
14663765,10000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
27720644,20000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
29327531,20000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
38814960,30000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
42780766,30000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
43991296,30000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
47363551,40000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
55441288,40000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
57521822,40000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
58655062,40000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
52521155,50000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
67008011,50000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
70820477,50000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
72262877,50000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
73318827,50000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
55660921,60000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
77629920,60000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
83161933,60000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
85561533,60000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
87003933,60000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
87982593,60000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
57839307,70000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
87669636,70000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
94783295,70000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
98860188,70000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
100302588,70000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
101744988,70000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
102646358,70000,70000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
59634170,80000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
94727102,80000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
106240737,80000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
110882577,80000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
113601244,80000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
115043644,80000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
116486044,80000,70000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
117310124,80000,80000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
60983696,90000,10000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
101003580,90000,20000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
116444880,90000,30000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
122558580,90000,40000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
126899900,90000,50000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
128342300,90000,60000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
129784700,90000,70000,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0,0
