2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
2686456.0,2393115.0,1891325.0,1466290.0,1179314.0,1386677.0,1462897.0,937068.0,891800.0,1249046.0,1449354.0,1962825.0
4780141.0,4063691.0,3175039.0,2443298.0,1914387.0,2376161.0,2561727.0,1471233.0,1526068.0,2167442.0,2287290.0,3410335.0
6439402.0,5303022.0,4041816.0,2943230.0,2392137.0,3010928.0,3274655.0,1821840.0,2048109.0,2869156.0,2743501.0,4483520.0
7383463.0,6097578.0,4542290.0,3237558.0,2696150.0,3326980.0,3556351.0,1961817.0,2343077.0,3361000.0,2978155.0,5143638.0
7863023.0,6567324.0,4816700.0,3466419.0,2897193.0,3450303.0,3625657.0,2034981.0,2470098.0,3666056.0,3152331.0,5525566.0
26864568.0,23931154.0,18913256.0,14662900.0,11793142.0,13866775.0,14628977.0,9370681.0,8918004.0,12490461.0,14493549.0,19628256.0
10507020.0,8252463.0,5625609.0,4412222.0,3522190.0,3805947.0,3741224.0,2269772.0,2815768.0,4624440.0,3842380.0,6815348.0
47801413.0,40636912.0,31750399.0,24432982.0,19143871.0,23761617.0,25617276.0,14712332.0,15260685.0,21674426.0,22872905.0,34103356.0
64394025.0,53030221.0,40418169.0,29432301.0,23921376.0,30109287.0,32746557.0,18218409.0,20481095.0,28691567.0,27435013.0,44835200.0
73834634.0,60975786.0,45422905.0,32375588.0,26961506.0,33269803.0,35563517.0,19618176.0,23430776.0,33610005.0,29781555.0,51436385.0
12746875.0,10544324.0,6801834.0,5340137.0,3697158.0,3921837.0,3753281.0,2272342.0,2923238.0,5256271.0,4426203.0,7496435.0
78630232.0,65673244.0,48167004.0,34664194.0,28971934.0,34503032.0,36256578.0,20349815.0,24700981.0,36660568.0,31523317.0,55255660.0
268645685.0,239311547.0,189132561.0,146629008.0,117931423.0,138667751.0,146289776.0,93706810.0,89180047.0,124904614.0,144935492.0,196282561.0
105070201.0,82524635.0,56256092.0,44122227.0,35221902.0,38059476.0,37412241.0,22697724.0,28157684.0,46244405.0,38423802.0,68153482.0
478014137.0,406369128.0,317503999.0,244329821.0,191438715.0,237616177.0,256172763.0,147123329.0,152606850.0,216744267.0,228729059.0,341033562.0
643940258.0,530302214.0,404181697.0,294323017.0,239213762.0,301092872.0,327465579.0,182184090.0,204810953.0,286915673.0,274350139.0,448352005.0
738346343.0,609757864.0,454229054.0,323755885.0,269615066.0,332698033.0,355635179.0,196181769.0,234307765.0,336100058.0,297815557.0,514363855.0
127468755.0,105443247.0,68018349.0,53401372.0,36971586.0,39218371.0,37532816.0,22723422.0,29232389.0,52562710.0,44262035.0,74964356.0
786302321.0,656732444.0,481670042.0,346641941.0,289719348.0,345030323.0,362565786.0,203498151.0,247009818.0,366605682.0,315233178.0,552556608.0
