energy_capacity_rated,power_output_rated,state_of_charge_minimum,state_of_charge_maximum,efficiency,rest,opex_yearly,capex
2000,1000,0.1,0.9,0.9110433579144299,3,4598850,1496452460
4000,1000,0.1,0.9,0.9110433579144299,1,7478130,2669252520
6000,1000,0.1,0.9,0.9110433579144299,0,10304090,3848717580
8000,1000,0.1,0.9,0.9110433579144299,0,13116720,5029675600
10000,1000,0.1,0.9,0.9110433579144299,0,15929350,6199916300
20000,10000,0.1,0.9,0.9110433579144299,3,40789800,13137781400
24000,1000,0.1,0.9,0.9110433579144299,0,35297840,14369206800
40000,10000,0.1,0.9,0.9110433579144299,1,68116300,23701539800
60000,10000,0.1,0.9,0.9110433579144299,0,95176200,34496573700
80000,10000,0.1,0.9,0.9110433579144299,0,121969500,45121650100
100000,1000,0.1,0.9,0.9110433579144299,0,137805540,58089474000
100000,10000,0.1,0.9,0.9110433579144299,0,148762800,55785383500
200000,100000,0.1,0.9,0.9110433579144299,3,375906000,123959669000
240000,10000,0.1,0.9,0.9110433579144299,0,333250000,129838598900
400000,100000,0.1,0.9,0.9110433579144299,1,634508000,220538185000
600000,100000,0.1,0.9,0.9110433579144299,0,891777000,319986650000
800000,100000,0.1,0.9,0.9110433579144299,0,1146380000,418789943000
1000000,10000,0.1,0.9,0.9110433579144299,0,1308606100,525989136500
1000000,100000,0.1,0.9,0.9110433579144299,0,1399650000,518239741000
