energy_capacity_rated,power_output_rated,state_of_charge_minimum,state_of_charge_maximum,efficiency,rest,opex_yearly,capex
2000,1000,0.1,0.9,0.9110433579144299,3,3799050,1248754400
4000,1000,0.1,0.9,0.9110433579144299,1,6571690,2209554140
6000,1000,0.1,0.9,0.9110433579144299,0,8371240,3177365460
8000,1000,0.1,0.9,0.9110433579144299,0,10504040,4143657160
10000,1000,0.1,0.9,0.9110433579144299,0,12703490,5106456400
20000,10000,0.1,0.9,0.9110433579144299,3,33591600,10850486700
24000,1000,0.1,0.9,0.9110433579144299,0,27953010,11806167720
40000,10000,0.1,0.9,0.9110433579144299,1,55052900,19418477500
60000,10000,0.1,0.9,0.9110433579144299,0,76380900,28202680900
80000,10000,0.1,0.9,0.9110433579144299,0,97442300,36837455000
100000,1000,0.1,0.9,0.9110433579144299,0,108532860,47690741000
100000,10000,0.1,0.9,0.9110433579144299,0,118503700,45505154200
200000,100000,0.1,0.9,0.9110433579144299,3,306589999,101493287000
240000,10000,0.1,0.9,0.9110433579144299,0,263667400,105762086200
400000,100000,0.1,0.9,0.9110433579144299,1,511872000,178859274000
600000,100000,0.1,0.9,0.9110433579144299,0,714488000,258912589000
800000,100000,0.1,0.9,0.9110433579144299,0,915771000,338704636000
1000000,10000,0.1,0.9,0.9110433579144299,0,1031475400,428260108200
1000000,100000,0.1,0.9,0.9110433579144299,0,1119720000,418761950000
