energy_capacity_rated,power_output_rated,state_of_charge_minimum,state_of_charge_maximum,efficiency,rest,opex_yearly,capex
2000,1000,0.21,0.79,0.8774964387392122,1,5278680,1519713310
4000,1000,0.16,0.84,0.8774964387392122,1,8144630,2645645090
6000,1000,0.12,0.88,0.8831760866327847,0,10983920,3775949110
8000,1000,0.1,0.9,0.8888194417315589,0,13809880,4877940210
10000,1000,0.1,0.9,0.8888194417315589,0,16609180,5984010290
20000,10000,0.21,0.79,0.8774964387392122,1,37324000,13705506100
24000,1000,0.1,0.9,0.8888194417315589,0,35977670,13635323650
40000,10000,0.16,0.84,0.8774964387392122,1,59451800,24428957900
60000,10000,0.12,0.88,0.8831760866327847,0,81313000,35056966900
80000,10000,0.11,0.89,0.8888194417315589,0,102774300,45638054300
100000,1000,0.1,0.9,0.8944271909999159,0,138218770,54166361690
100000,10000,0.1,0.9,0.8888194417315589,0,124235600,56362572500
200000,100000,0.21,0.79,0.8774964387392122,1,397234000,127645414000
240000,10000,0.1,0.9,0.8888194417315589,0,272731800,128866308700
400000,100000,0.16,0.84,0.8774964387392122,1,639840000,229742550000
600000,100000,0.12,0.88,0.8831760866327847,0,879780000,331039886000
800000,100000,0.11,0.89,0.8888194417315589,0,1118387000,432118610000
1000000,10000,0.1,0.9,0.8944271909999159,0,1056669100,513180339500
1000000,100000,0.1,0.9,0.8888194417315589,0,1355661000,532293560000
