energy_capacity_rated,power_output_rated,state_of_charge_minimum,state_of_charge_maximum,efficiency,rest,opex_yearly,capex
2000,1000,0.1,0.9,0.806225774829855,1,5985170,2304437080
4000,1000,0.1,0.9,0.806225774829855,0,7944680,3216635640
6000,1000,0.1,0.9,0.806225774829855,0,9850870,4282529100
8000,1000,0.1,0.9,0.806225774829855,0,11783720,4875354190
10000,1000,0.1,0.9,0.806225774829855,0,13716570,5596920420
20000,10000,0.1,0.9,0.806225774829855,1,53853200,20115103300
24000,1000,0.1,0.9,0.806225774829855,0,27259850,11649780160
40000,10000,0.1,0.9,0.806225774829855,0,72248600,28406629900
60000,10000,0.1,0.9,0.806225774829855,0,90644000,37873462600
80000,10000,0.1,0.9,0.806225774829855,0,109039400,43327965300
100000,1000,0.1,0.9,0.806225774829855,0,100641500,44595994880
100000,10000,0.1,0.9,0.806225774829855,0,127434800,50096806000
200000,100000,0.1,0.9,0.806225774829855,1,494543000,183418134000
240000,10000,0.1,0.9,0.806225774829855,0,256335900,105417905600
400000,100000,0.1,0.9,0.806225774829855,0,669165999,260208265000
600000,100000,0.1,0.9,0.806225774829855,0,887778000,345364304000
800000,100000,0.1,0.9,0.806225774829855,0,1019745000,388858761000
1000000,10000,0.1,0.9,0.806225774829855,0,955361100,405701216000
1000000,100000,0.1,0.9,0.806225774829855,0,1194368000,453854508000
