energy_capacity_rated,power_output_rated,state_of_charge_minimum,state_of_charge_maximum,efficiency,rest,opex_yearly,capex
2000,1000,0.1,0.9,0.8426149773176358,2,10037490,2116217480
4000,1000,0.1,0.9,0.7874007874011811,1,23407480,3461694360
6000,1000,0.1,0.9,0.812403840463596,0,2052820,3594914380
8000,1000,0.1,0.9,0.7681145747868608,0,16342580,7302973800
10000,1000,0.1,0.9,0.7681145747868608,0,17262350,8777085180
20000,10000,0.1,0.9,0.806225774829855,2,154761300,19859700500
24000,1000,0.1,0.9,0.7681145747868608,0,40536530,17555983240
40000,10000,0.1,0.9,0.7874007874011811,1,322319400,33116652100
60000,10000,0.1,0.9,0.812403840463596,0,242206100,32652768100
80000,10000,0.1,0.9,0.7681145747868608,0,162092800,71137544500
100000,1000,0.1,0.9,0.7681145747868608,0,90390730,66335625280
100000,10000,0.1,0.9,0.7681145747868608,0,171290500,83685340100
240000,10000,0.1,0.9,0.7681145747868608,0,404032300,172136288500
1000000,10000,0.1,0.9,0.7681145747868608,0,902574299,669568166100
