energy_capacity_rated,power_output_rated,state_of_charge_minimum,state_of_charge_maximum,efficiency,rest,opex_yearly,capex
2000,1000,0.1,0.9,0.9219544457292888,3,3972340,1270988840
4000,1000,0.1,0.9,0.9219544457292888,1,6331750,2224097170
6000,1000,0.1,0.9,0.9219544457292888,0,8677830,3192934900
8000,1000,0.1,0.9,0.9219544457292888,0,10997250,4158853360
10000,1000,0.1,0.9,0.9219544457292888,0,13303340,5129623940
20000,10000,0.1,0.9,0.9219544457292888,3,35057900,10917403300
24000,1000,0.1,0.9,0.9219544457292888,0,29246020,11845144640
40000,10000,0.1,0.9,0.9219544457292888,1,57585600,19313570400
60000,10000,0.1,0.9,0.9219544457292888,0,79846700,27919818300
80000,10000,0.1,0.9,0.9219544457292888,0,102107800,36350376800
100000,1000,0.1,0.9,0.9219544457292888,0,113584930,47897729240
100000,10000,0.1,0.9,0.9219544457292888,0,123969000,44925565800
200000,100000,0.1,0.9,0.9219544457292888,3,321253000,102282423000
240000,10000,0.1,0.9,0.9219544457292888,0,275931000,104191545600
400000,100000,0.1,0.9,0.9219544457292888,1,535865999,176842445000
600000,100000,0.1,0.9,0.9219544457292888,0,747813000,254729635000
800000,100000,0.1,0.9,0.9219544457292888,0,958427000,332099621000
1000000,10000,0.1,0.9,0.9219544457292888,0,1079463400,421949952800
1000000,100000,0.1,0.9,0.9219544457292888,0,1167708000,410440031000
