ecr,por,soc_min,soc_max,eff,rest,opex,capex
2000,1000,0.1,0.9,0.91,3,4225610,1387493040
4000,1000,0.1,0.9,0.91,2,7291510,2455012760
6000,1000,0.1,0.9,0.91,1,9304340,3530397180
8000,1000,0.1,0.9,0.91,0,11677080,4603968720
20000,10000,0.1,0.9,0.91,3,37190700,12056185200
40000,10000,0.1,0.9,0.91,2,61184700,21576204600
60000,10000,0.1,0.9,0.91,1,84912100,31336563900
80000,10000,0.1,0.9,0.91,0,108239599,40930698100
200000,100000,0.1,0.9,0.91,3,341248000,112773133000
400000,100000,0.1,0.9,0.91,2,569190999,198735637000
600000,100000,0.1,0.9,0.91,1,794468000,287682728000
800000,100000,0.1,0.9,0.91,0,1017079000,376347223000
