energy_capacity_rated,power_output_rated,state_of_charge_minimum,state_of_charge_maximum,efficiency,rest,opex_yearly,capex
2000,1000,0.1,0.9,0.806225774829855,1,7318170,3115754200
4000,1000,0.1,0.9,0.806225774829855,0,9717570,4368147690
6000,1000,0.1,0.9,0.806225774829855,0,12036990,5820384540
8000,1000,0.1,0.9,0.806225774829855,0,14396400,6624596770
10000,1000,0.1,0.9,0.806225774829855,0,16769140,7612003190
20000,10000,0.1,0.9,0.806225774829855,1,65850200,27254251400
24000,1000,0.1,0.9,0.806225774829855,0,33325000,15894798640
40000,10000,0.1,0.9,0.806225774829855,0,88377900,38653267600
60000,10000,0.1,0.9,0.806225774829855,0,110905600,51583234300
80000,10000,0.1,0.9,0.806225774829855,0,133300000,58987916000
100000,1000,0.1,0.9,0.806225774829855,0,122995910,60969527140
100000,10000,0.1,0.9,0.806225774829855,0,155827700,68280792200
200000,100000,0.1,0.9,0.806225774829855,1,605182000,248461869000
240000,10000,0.1,0.9,0.806225774829855,0,313255000,144061708900
400000,100000,0.1,0.9,0.806225774829855,0,818462000,353899503000
600000,100000,0.1,0.9,0.806225774829855,0,1085062000,469930488000
800000,100000,0.1,0.9,0.806225774829855,0,1246355000,528478514000
1000000,10000,0.1,0.9,0.806225774829855,0,1167574700,555459900300
1000000,100000,0.1,0.9,0.806225774829855,0,1459635000,617344292000
