energy_capacity_rated,power_output_rated,state_of_charge_minimum,state_of_charge_maximum,efficiency,rest,opex_yearly,capex
2000,1000,0.21,0.79,0.8774964387392122,1,5798550,1639056800
4000,1000,0.16,0.84,0.8774964387392122,1,8957760,2794981080
6000,1000,0.12,0.88,0.8831760866327847,0,12090310,3966608100
8000,1000,0.1,0.9,0.8888194417315589,0,15196200,5136635520
10000,1000,0.1,0.9,0.8888194417315589,0,18275430,6281282620
20000,10000,0.21,0.79,0.8774964387392122,1,41056400,14815228600
24000,1000,0.1,0.9,0.8888194417315589,0,39563440,14285601040
40000,10000,0.16,0.84,0.8774964387392122,1,65317000,25764490600
60000,10000,0.12,0.88,0.8831760866327847,0,89444300,36882777000
80000,10000,0.11,0.89,0.8888194417315589,0,113038400,47928548200
100000,1000,0.1,0.9,0.8944271909999159,0,152041980,56415932490
100000,10000,0.1,0.9,0.8888194417315589,0,136632500,58916733800
200000,100000,0.21,0.79,0.8774964387392122,1,437224000,137116379000
240000,10000,0.1,0.9,0.8888194417315589,0,299925000,134762301000
400000,100000,0.16,0.84,0.8774964387392122,1,703824000,241720888000
600000,100000,0.12,0.88,0.8831760866327847,0,967758000,348632820000
800000,100000,0.11,0.89,0.8888194417315589,0,1230359000,452654808000
1000000,10000,0.1,0.9,0.8944271909999159,0,1162242700,535826809800
1000000,100000,0.1,0.9,0.8888194417315589,0,1490294000,557348628000
