energy_capacity_rated,power_output_rated,state_of_charge_minimum,state_of_charge_maximum,efficiency,rest,opex_yearly,capex
2000,1000,0.1,0.9,0.9110433579144299,3,5052070,1646068380
4000,1000,0.1,0.9,0.9110433579144299,1,8224610,2936305740
6000,1000,0.1,0.9,0.9110433579144299,0,11330500,4233501360
8000,1000,0.1,0.9,0.9110433579144299,0,14436390,5532643160
10000,1000,0.1,0.9,0.9110433579144299,0,17515620,6820161200
20000,10000,0.1,0.9,0.9110433579144299,3,44922100,14451186300
24000,1000,0.1,0.9,0.9110433579144299,0,38816960,15806127480
40000,10000,0.1,0.9,0.9110433579144299,1,75047900,26071613800
60000,10000,0.1,0.9,0.9110433579144299,0,104773800,37946111100
80000,10000,0.1,0.9,0.9110433579144299,0,134233100,49634921500
100000,1000,0.1,0.9,0.9110433579144299,0,151588760,63897355000
100000,10000,0.1,0.9,0.9110433579144299,0,163559100,61363988500
200000,100000,0.1,0.9,0.9110433579144299,3,413230000,136352570000
240000,10000,0.1,0.9,0.9110433579144299,0,366575000,142823351900
400000,100000,0.1,0.9,0.9110433579144299,1,697159000,242590004000
600000,100000,0.1,0.9,0.9110433579144299,0,979755000,351987981000
800000,100000,0.1,0.9,0.9110433579144299,0,1261018000,460687466000
1000000,10000,0.1,0.9,0.9110433579144299,0,1439506700,578595981500
1000000,100000,0.1,0.9,0.9110433579144299,0,1539615000,570049452000
