2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
3102765,1577404,3043587,1813966,1919011,2601808,2033762,14710581,20242840,22004812
5502906,2689833,5429118,3293164,3240148,4526425,3432345,25490437,34637436,37805761
7170352,3286008,7023030,4290578,4171260,6002747,4315647,33005635,45120258,49366587
8192707,3633816,7867989,4852757,4755187,7034718,4850127,37795021,51905823,56340345
31027691,15774089,30435874,18139767,19190157,26018129,20337669,147105864,202429245,220048182
55029103,26898385,54291231,32931708,32401792,45264305,34323512,254904438,346371167,378055756
71703737,32860186,70230316,42905837,41712639,60027524,43156727,330055994,451205347,493665936
81927119,36338197,78679943,48527606,47551917,70347247,48501321,377950271,519058303,563403495
310276947,157740935,304358790,181397720,191901591,260181342,203376737,1471058692,2024292505,2200481871
550291066,268981351,542912360,329317131,324017983,452643103,343235168,2549044442,3463714751,3780557615
717037251,328601912,702295995,429058414,417126432,600275295,431567327,3300559989,4512053539,4936659411
819271231,363382019,786799490,485276108,475519220,703472508,485013263,3779502771,5190583079,5634035013
