2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
3001500,1418583,2975639,1708595,1824953,2553315,1897299,14294664,19905762,21818826
5170699,2394012,5280784,3087722,3037123,4441398,3154056,24721253,34016798,37496214
6602717,2851347,6757642,3956686,3830233,5862884,3872367,31706519,44101146,48741168
7447053,3050535,7394865,4338423,4175814,6737055,4189213,35463051,49832908,54755845
30015285,14186092,29757092,17086314,18250071,25533768,18973354,142947525,199059101,218189887
51707300,23940356,52808563,30877635,30371800,44414619,31540924,247213263,340169348,374963672
66027462,28513751,67577118,39567349,38302865,58629476,38724028,317065914,441013154,487413102
74470845,30505603,73949395,43384677,41758710,67371228,41892498,354631435,498330445,547559999
300153202,141861189,297571698,170863524,182501264,255338350,189733900,1429476116,1990592476,2181900421
517073289,239403833,528086386,308776775,303718575,444146836,315409620,2472134927,3401694888,3749638317
660274943,285137780,675771912,395673925,383029225,586295421,387240636,3170660036,4410132896,4874132389
744708758,305056314,739494662,433847207,417587682,673712953,418925321,3546315231,4983305778,5475601566
