2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
3114962.0,2734120.0,2428070.0,1984235.0,1583166.0,1776326.0,1876942.0,1335853.0,1263178.0,1600786.0,1816609.0,2304920.0
5612252.0,4746931.0,4205336.0,3340510.0,2686477.0,3134852.0,3368213.0,2177522.0,2221913.0,2839865.0,2986532.0,4067703.0
7660157.0,6298766.0,5447085.0,4124601.0,3455848.0,4106282.0,4488987.0,2727439.0,3027878.0,3825662.0,3727832.0,5441983.0
8975955.0,7346654.0,6173142.0,4566976.0,3969190.0,4648178.0,5017085.0,2947807.0,3541327.0,4585379.0,4126379.0,6384598.0
9600583.0,7945989.0,6552263.0,4874456.0,4277806.0,4852819.0,5146651.0,3029515.0,3782885.0,5097229.0,4394750.0,6952432.0
31149620.0,27341206.0,24280709.0,19842358.0,15831661.0,17763268.0,18769426.0,13358539.0,12631782.0,16007862.0,18166093.0,23049208.0
12636827.0,9913496.0,7655778.0,6153382.0,5163166.0,5382076.0,5263235.0,3192182.0,4253458.0,6500809.0,5295505.0,8690856.0
56122527.0,47469313.0,42053365.0,33405107.0,26864771.0,31348523.0,33682136.0,21775225.0,22219131.0,28398650.0,29865321.0,40677039.0
76601579.0,62987665.0,54470859.0,41246010.0,34558487.0,41062829.0,44889878.0,27274397.0,30278786.0,38256623.0,37278323.0,54419831.0
89759554.0,73466541.0,61731422.0,45669760.0,39691904.0,46481784.0,50170856.0,29478074.0,35413272.0,45853797.0,41263795.0,63845988.0
15554345.0,12697237.0,9338963.0,7417765.0,5676002.0,5657057.0,5271547.0,3208147.0,4392479.0,7552289.0,5791669.0,9709888.0
96005833.0,79459892.0,65522637.0,48744565.0,42778067.0,48528193.0,51466510.0,30295153.0,37828851.0,50972294.0,43947506.0,69524324.0
311480344.0,273412063.0,242807098.0,198423581.0,158316612.0,177632684.0,187694266.0,133585393.0,126317821.0,160078622.0,181652168.0,230492084.0
126368276.0,99134969.0,76557784.0,61533826.0,51631663.0,53820765.0,52632355.0,31921829.0,42534580.0,65008099.0,52955052.0,86908569.0
561225273.0,474693134.0,420533658.0,334051072.0,268647710.0,313485235.0,336821362.0,217752251.0,222191310.0,283986508.0,298653217.0,406770396.0
766015795.0,629876654.0,544708596.0,412460101.0,345584871.0,410628298.0,448898788.0,272743977.0,302787863.0,382566230.0,372783234.0,544198318.0
897595545.0,734665416.0,617314229.0,456697600.0,396919040.0,464817846.0,501708565.0,294780747.0,354132724.0,458537970.0,412637956.0,638459884.0
155543457.0,126972378.0,93389631.0,74177656.0,56760024.0,56570578.0,52715471.0,32081479.0,43924792.0,75522898.0,57916692.0,97098887.0
960058330.0,794598924.0,655226374.0,487445650.0,427780671.0,485281932.0,514665107.0,302951533.0,378288511.0,509722943.0,439475063.0,695243241.0
