2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
18316487,14262053,24993834,24818998,28302981,28836135,32621649,99605728,120852075,101336631
30068711,25094621,46291708,44266967,52109810,50899389,56397108,181174480,220033246,185106436
36948368,31916565,64498691,58134111,68178123,68945916,71656746,243911957,302498745,259291609
40642563,35066710,78284374,66498273,77442139,84357781,79483061,285520803,365582543,321357199
183165384,142620891,249939127,248190620,283030668,288362208,326217410,996058427,1208522140,1013367790
300687663,250946581,462917919,442670281,521099013,508994707,563971808,1811745843,2200333860,1849305874
369484081,319165990,644987705,581341720,681782021,689460004,716568119,2438987246,3024988874,2592917546
406426025,350667398,782844482,664983285,774422173,843578569,794831228,2855208953,3655826762,3213573371
1831653911,1426208993,2499391393,2481906254,2830306825,2883622206,3262174239,9960584428,12085221573,10133678103
3006876738,2509465931,4629179348,4426702937,5210990378,5089947429,5639718355,18117458668,22003338820,18493058511
3694840937,3191660042,6449877261,5813417374,6817820469,6894600248,7165681506,24389872749,30249889027,25929175765
4064260407,3506674118,7828445058,6649833029,7744222008,8435785928,7948312613,28552089841,36558267984,32135734056
