2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
3001536,1418614,2975728,1708637,1825015,2553387,1897333,14294772,19905939,21819020
5170724,2394038,5280861,3087757,3037169,4441466,3154092,24721330,34016947,37496381
6602746,2851368,6757682,3956710,3830262,5862955,3872384,31706595,44101283,48741316
7447076,3050554,7394886,4338438,4175830,6737102,4189224,35463086,49832990,54755945
30015327,14186125,29757190,17086359,18250134,25533854,18973387,142947637,199059294,218190090
51707328,23940381,52808644,30877682,30371846,44414698,31540957,247213363,340169519,374963867
66027492,28513773,67577159,39567372,38302895,58629557,38724048,317065990,441013313,487413278
74470863,30505624,73949418,43384693,41758726,67371286,41892513,354631468,498330532,547560102
300153264,141861242,297571846,170863608,182501375,255338474,189733965,1429476292,1990592766,2181900748
517073337,239403876,528086521,308776842,303718654,444146954,315409675,2472135066,3401695153,3749638634
660274980,285137807,675771993,395673966,383029279,586295534,387240671,3170660152,4410133131,4874132659
744708782,305056338,739494698,433847227,417587707,673713018,418925341,3546315282,4983305905,5475601713
